GeoIP.x86_64                               1.5.0-11.el7
perl-HTTP-Tiny.noarch                      0.033-3.el7
perl-PathTools.x86_64                      3.40-5.el7
perl-Pod-Escapes.noarch                    1:1.04-291.el7
perl-Pod-Perldoc.noarch                    3.20-4.el7
perl-Pod-Simple.noarch                     1:3.28-4.el7
perl-Pod-Usage.noarch                      1.63-3.el7
perl-Scalar-List-Utils.x86_64              1.27-248.el7
perl-Socket.x86_64                         2.010-4.el7
perl-Storable.x86_64                       2.45-3.el7
perl-TermReadKey.x86_64                    2.30-20.el7
perl-Test-Harness.noarch                   3.28-3.el7
perl-Text-ParseWords.noarch                3.29-4.el7
perl-Thread-Queue.noarch                   3.02-2.el7
perl-Time-HiRes.x86_64                     4:1.9725-3.el7
perl-Time-Local.noarch                     1.2300-2.el7
perl-constant.noarch                       1.27-2.el7
perl-libs.x86_64                           4:5.16.3-291.el7
perl-macros.x86_64                         4:5.16.3-291.el7
perl-parent.noarch                         1:0.225-244.el7
perl-podlators.noarch                      2.5.1-3.el7
perl-threads.x86_64                        1.87-4.el7
perl-threads-shared.x86_64                 1.43-6.el7
pinentry.x86_64                            0.8.1-17.el7
pkgconfig.x86_64                           1:0.27.1-4.el7
policycoreutils.x86_64                     2.5-11.el7_3
policycoreutils-python.x86_64              2.5-11.el7_3
polkit.x86_64                              0.112-11.el7_3
polkit-pkla-compat.x86_64                  0.1-4.el7
popt.x86_64                                1.13-16.el7
postfix.x86_64                             2:2.10.1-6.el7
ppp.x86_64                                 2.4.5-33.el7
procps-ng.x86_64                           3.3.10-10.el7
psmisc.x86_64                              22.20-11.el7
pth.x86_64                                 2.0.7-23.el7
pygobject3-base.x86_64                     3.14.0-3.el7
pygpgme.x86_64                             0.3-9.el7
pyliblzma.x86_64                           0.5.3-11.el7
python.x86_64                              2.7.5-48.el7
python-IPy.noarch                          0.75-6.el7
python-backports.x86_64                    1.0-8.el7
python-backports-ssl_match_hostname.noarch 3.4.0.2-4.el7
python-boto.noarch                         2.25.0-2.el7.centos
python-chardet.noarch                      2.2.1-1.el7_1
python-cheetah.x86_64                      2.4.4-5.el7.centos
python-configobj.noarch                    4.7.2-7.el7
python-decorator.noarch                    3.4.0-3.el7
python-devel.x86_64                        2.7.5-48.el7
python-iniparse.noarch                     0.4-9.el7
python-jsonpatch.noarch                    1.2-3.el7.centos
python-jsonpointer.noarch                  1.9-2.el7
python-kitchen.noarch                      1.1.1-5.el7
python-libs.x86_64                         2.7.5-48.el7
python-markdown.noarch                     2.4.1-1.el7.centos
python-perf.x86_64                         3.10.0-514.10.2.el7
python-pillow.x86_64                       2.0.0-19.gitd1c6db8.el7
python-prettytable.noarch                  0.7.2-2.el7.centos
python-pycurl.x86_64                       7.19.0-19.el7
python-pygments.noarch                     1.4-9.el7
python-pyudev.noarch                       0.15-7.el7_2.1
python-requests.noarch                     2.6.0-1.el7_1
python-setuptools.noarch                   0.9.8-4.el7
python-six.noarch                          1.9.0-2.el7
python-urlgrabber.noarch                   3.10-8.el7
python-urllib3.noarch                      1.10.2-2.el7_1
python-virtualenv.noarch                   1.10.1-3.el7
pyxattr.x86_64                             0.5.1-5.el7
qrencode-libs.x86_64                       3.4.1-3.el7
quota.x86_64                               1:4.01-14.el7
quota-nls.noarch                           1:4.01-14.el7
rdma.noarch                                7.3_4.7_rc2-5.el7
readline.x86_64                            6.2-9.el7
redhat-lsb-core.x86_64                     4.1-27.el7.centos.1
redhat-lsb-submod-security.x86_64          4.1-27.el7.centos.1
rootfiles.noarch                           8.1-11.el7
rpcbind.x86_64                             0.2.0-38.el7
rpm.x86_64                                 4.11.3-21.el7
rpm-build-libs.x86_64                      4.11.3-21.el7
rpm-libs.x86_64                            4.11.3-21.el7
rpm-python.x86_64                          4.11.3-21.el7
rsync.x86_64                               3.0.9-17.el7
rsyslog.x86_64                             7.4.7-16.el7
sed.x86_64                                 4.2.2-5.el7
selinux-policy.noarch                      3.13.1-102.el7_3.15
selinux-policy-targeted.noarch             3.13.1-102.el7_3.15
setools-libs.x86_64                        3.3.8-1.1.el7
setup.noarch                               2.8.71-7.el7
shadow-utils.x86_64                        2:4.1.5.1-24.el7
shared-mime-info.x86_64                    1.1-9.el7
slang.x86_64                               2.2.4-11.el7
snappy.x86_64                              1.1.0-3.el7
spax.x86_64                                1.5.2-13.el7
sqlite.x86_64                              3.7.17-8.el7
sudo.x86_64                                1.8.6p7-21.el7_3
systemd.x86_64                             219-30.el7_3.7
systemd-libs.x86_64                        219-30.el7_3.7
systemd-sysv.x86_64                        219-30.el7_3.7
sysvinit-tools.x86_64                      2.88-14.dsf.el7
tar.x86_64                                 2:1.26-31.el7
tcp_wrappers.x86_64                        7.6-77.el7
tcp_wrappers-libs.x86_64                   7.6-77.el7
tcpdump.x86_64                             14:4.5.1-3.el7
teamd.x86_64                               1.25-4.el7
time.x86_64                                1.7-45.el7
traceroute.x86_64                          3:2.0.22-2.el7
trousers.x86_64                            0.3.13-1.el7
tuned.noarch                               2.7.1-3.el7_3.1
tzdata.noarch                              2016j-1.el7
ustr.x86_64                                1.0.4-16.el7
util-linux.x86_64                          2.23.2-33.el7
vim-common.x86_64                          2:7.4.160-1.el7_3.1
vim-enhanced.x86_64                        2:7.4.160-1.el7_3.1
vim-filesystem.x86_64                      2:7.4.160-1.el7_3.1
vim-minimal.x86_64                         2:7.4.160-1.el7_3.1
virt-what.x86_64                           1.13-8.el7
which.x86_64                               2.20-7.el7
wpa_supplicant.x86_64                      1:2.0-21.el7_3
xfsprogs.x86_64                            4.5.0-9.el7_3
xz.x86_64                                  5.2.2-1.el7
xz-devel.x86_64                            5.2.2-1.el7
xz-libs.x86_64                             5.2.2-1.el7
yum.noarch                                 3.4.3-150.el7.centos
yum-metadata-parser.x86_64                 1.1.4-10.el7
yum-plugin-fastestmirror.noarch            1.1.31-40.el7
yum-utils.noarch                           1.1.31-40.el7
zlib.x86_64                                1.2.7-17.el7
zlib-devel.x86_64                          1.2.7-17.el7
