MAKEDEV.x86_64                             3.24-6.el6
dhclient.x86_64                            12:4.1.1-51.P1.el6.centos
dhcp-common.x86_64                         12:4.1.1-51.P1.el6.centos
diffutils.x86_64                           2.8.1-28.el6
dmidecode.x86_64                           1:2.12-7.el6
dracut.noarch                              004-409.el6_8.2
dracut-kernel.noarch                       004-409.el6_8.2
dracut-modules-growroot.noarch             0.20-2.el6
e2fsprogs.x86_64                           1.41.12-22.el6
e2fsprogs-libs.x86_64                      1.41.12-22.el6
ed.x86_64                                  1.1-3.3.el6
efibootmgr.x86_64                          0.5.4-13.el6
elfutils-libelf.x86_64                     0.164-2.el6
elfutils-libs.x86_64                       0.164-2.el6
epel-release.noarch                        6-8
ethtool.x86_64                             2:3.5-6.el6
euca2ools.noarch                           3.4.1-1.el6
expat.x86_64                               2.0.1-13.el6_8
file.x86_64                                5.04-30.el6
file-libs.x86_64                           5.04-30.el6
filesystem.x86_64                          2.4.30-3.el6
findutils.x86_64                           1:4.4.2-9.el6
fipscheck.x86_64                           1.2.0-7.el6
fipscheck-lib.x86_64                       1.2.0-7.el6
gamin.x86_64                               0.1.10-9.el6
gawk.x86_64                                3.1.7-10.el6_7.3
gcc.x86_64                                 4.4.7-17.el6
gcc-c++.x86_64                             4.4.7-17.el6
gdbm.x86_64                                1.8.0-39.el6
gdbm-devel.x86_64                          1.8.0-39.el6
gdisk.x86_64                               0.8.10-1.el6
gettext.x86_64                             0.17-18.el6
git.x86_64                                 1.7.1-4.el6_7.1
glib2.x86_64                               2.28.8-5.el6
glibc.x86_64                               2.12-1.192.el6
glibc-common.x86_64                        2.12-1.192.el6
glibc-devel.x86_64                         2.12-1.192.el6
glibc-headers.x86_64                       2.12-1.192.el6
glusterfs.x86_64                           3.7.5-19.el6
glusterfs-api.x86_64                       3.7.5-19.el6
glusterfs-client-xlators.x86_64            3.7.5-19.el6
glusterfs-libs.x86_64                      3.7.5-19.el6
gmp.x86_64                                 4.3.1-10.el6
gnupg2.x86_64                              2.0.14-8.el6
gpgme.x86_64                               1.1.8-3.el6
gpm-libs.x86_64                            1.20.6-12.el6
grep.x86_64                                2.20-5.el6_8
